TRADE HISTORY
Date,Action,Ticker,Name,Price,Shares,Value,Weight %
2018-01-31,BUY,BTC,BTC,10101.6,1.099936,11111.11,11.11
2018-01-31,BUY,ETH,ETH,1105.3,10.052575,11111.11,11.11
2018-01-31,BUY,XRP,XRP,1.1202,9918.863695,11111.11,11.11
2018-01-31,BUY,BCH,BCH,1469.6,7.560636,11111.11,11.11
2018-01-31,BUY,LTC,LTC,162.3,68.460327,11111.11,11.11
2018-01-31,BUY,XMR,XMR,269.6,41.21332,11111.11,11.11
2018-01-31,BUY,ETC,ETC,28.269,393.049316,11111.11,11.11
2018-01-31,BUY,ZEC,ZEC,393.93,28.205801,11111.11,11.11
2018-01-31,BUY,DASH,DASH,689.5,16.114737,11111.11,11.11
2018-05-31,SELL,DASH,DASH,315.292,,6037.83,
2018-06-30,SELL,BTC,BTC,6584.2,,6902.67,
2018-06-30,SELL,ETH,ETH,466.59,,6186.91,
2018-06-30,SELL,XRP,XRP,0.492,,5855.06,
2018-06-30,SELL,BCH,BCH,760.4,,5418.61,
2018-06-30,SELL,LTC,LTC,84.99,,5624.65,
2018-06-30,SELL,XMR,XMR,137.77,,6747.17,
2018-06-30,SELL,ETC,ETC,16.884,,8919.97,
2018-06-30,SELL,ZEC,ZEC,181.26,,6197.61,
2019-05-31,BUY,BTC,BTC,7787.1,1.331758,10370.53,20.0
2019-05-31,BUY,XRP,XRP,0.4009,25868.125074,10370.53,20.0
2019-05-31,BUY,LTC,LTC,103.91,99.803016,10370.53,20.0
2019-05-31,BUY,ADA,ADA,0.0828,125314.555346,10370.53,20.0
2019-05-31,BUY,XMR,XMR,85.05,121.934525,10370.53,20.0
2019-06-30,BUY,ETH,ETH,302.1,33.09959,9999.39,16.67
2019-07-31,SELL,ETH,ETH,218.68,,7238.22,
2019-07-31,SELL,XRP,XRP,0.32,,7882.3,
2019-08-31,SELL,LTC,LTC,67.16,,8129.22,
2019-08-31,SELL,ADA,ADA,0.0454,,9028.52,
2019-08-31,SELL,XMR,XMR,74.0,,10966.25,
2019-12-31,SELL,BTC,BTC,7174.4,,27569.88,
2020-01-31,BUY,BTC,BTC,9616.2,0.477837,4594.98,16.67
2020-01-31,BUY,ETH,ETH,203.76,22.550944,4594.98,16.67
2020-01-31,BUY,BCH,BCH,444.6,10.335089,4594.98,16.67
2020-01-31,BUY,LTC,LTC,72.55,63.33536,4594.98,16.67
2020-01-31,BUY,LINK,LINK,2.8443,1615.521859,4594.98,16.67
2020-01-31,BUY,XMR,XMR,77.92,58.970487,4594.98,16.67
2020-02-29,SELL,BTC,BTC,8758.7,,4185.23,
2020-02-29,SELL,ETH,ETH,224.48,,5062.24,
2020-02-29,SELL,BCH,BCH,319.6,,3303.09,
2020-02-29,SELL,LTC,LTC,60.29,,3818.49,
2020-02-29,SELL,LINK,LINK,4.6376,,7492.22,
2020-02-29,SELL,XMR,XMR,65.73,,3876.13,
2020-04-30,BUY,BTC,BTC,9166.1,0.605217,5547.48,20.0
2020-04-30,BUY,ETH,ETH,199.48,27.809714,5547.48,20.0
2020-04-30,BUY,XLM,XLM,0.0699,79341.549157,5547.48,20.0
2020-04-30,BUY,LINK,LINK,3.5872,1546.461394,5547.48,20.0
2020-04-30,BUY,TRX,TRX,0.0155,356934.871673,5547.48,20.0
2020-05-31,BUY,ADA,ADA,0.0853,62834.624959,5361.87,16.67
2020-06-30,SELL,BTC,BTC,9234.5,,5123.51,
2020-06-30,SELL,ETH,ETH,231.11,,5067.4,
2020-06-30,SELL,XLM,XLM,0.0684,,4458.92,
2020-06-30,SELL,ADA,ADA,0.097,,6094.96,
2020-06-30,SELL,LINK,LINK,4.7002,,5618.84,
2020-06-30,SELL,TRX,TRX,0.0169,,5323.64,
2020-07-31,BUY,BTC,BTC,11746.0,0.299745,3520.81,11.11
2020-07-31,BUY,ETH,ETH,401.25,8.7746,3520.81,11.11
2020-07-31,BUY,XRP,XRP,0.3028,11629.040831,3520.81,11.11
2020-07-31,BUY,LTC,LTC,58.89,59.786184,3520.81,11.11
2020-07-31,BUY,XLM,XLM,0.1078,32656.016341,3520.81,11.11
2020-07-31,BUY,ADA,ADA,0.1424,24720.611708,3520.81,11.11
2020-07-31,BUY,LINK,LINK,9.5382,369.125583,3520.81,11.11
2020-07-31,BUY,TRX,TRX,0.0203,173055.217589,3520.81,11.11
2020-07-31,BUY,XMR,XMR,90.42,38.938381,3520.81,11.11
2020-09-30,SELL,LTC,LTC,46.24,,3077.59,
2020-10-31,BUY,LTC,LTC,54.75,63.896681,3498.34,11.11
2020-11-30,BUY,BCH,BCH,294.67,17.795202,5243.71,10.0
2020-12-31,SELL,XRP,XRP,0.249,,2069.71,
2021-01-31,BUY,XRP,XRP,0.398,15617.507197,6215.3,10.0
2021-01-31,BUY,DOT,DOT,20.8961,297.438246,6215.3,10.0
2021-01-31,BUY,DOGE,DOGE,0.0374,166283.62203,6215.3,10.0
2021-01-31,BUY,UNI,UNI,19.803,313.856453,6215.3,10.0
2021-11-30,SELL,LINK,LINK,25.3515,,17733.6,
2021-12-31,SELL,LTC,LTC,135.29,,13603.22,
2021-12-31,SELL,DOGE,DOGE,0.1589,,15943.99,
2021-12-31,SELL,BCH,BCH,399.37,,14696.31,
2021-12-31,SELL,UNI,UNI,17.084,,17119.56,
2022-01-31,SELL,BTC,BTC,36903.3,,24117.23,
2022-01-31,SELL,ETH,ETH,2682.36,,21503.03,
2022-01-31,SELL,XRP,XRP,0.6014,,22040.88,
2022-01-31,SELL,ADA,ADA,1.0272,,23710.06,
2022-01-31,SELL,DOT,DOT,18.8014,,20000.18,
2023-03-31,BUY,BTC,BTC,28179.1,0.988067,27842.85,25.0
2023-03-31,BUY,ETH,ETH,1909.02,14.58489,27842.85,25.0
2023-03-31,BUY,XRP,XRP,0.5065,54975.411266,27842.85,25.0
2023-03-31,BUY,LTC,LTC,92.63,300.58131,27842.85,25.0
2023-05-31,SELL,ETH,ETH,1873.59,,26713.02,
2023-05-31,BUY,TRX,TRX,0.0753,365814.822326,27529.76,25.0
2023-06-30,BUY,ETH,ETH,1911.01,10.09267,19287.19,16.67
2023-06-30,BUY,AVAX,AVAX,12.68,1521.072052,19287.19,16.67
2023-07-31,SELL,ETH,ETH,1839.09,,18561.33,
2023-08-31,SELL,LTC,LTC,62.86,,17135.52,
2023-09-30,BUY,LINK,LINK,7.6725,2770.210514,21254.33,20.0
2023-10-31,BUY,ETH,ETH,1847.43,10.305234,19038.2,14.29
2023-10-31,BUY,SOL,SOL,41.17,462.428903,19038.2,14.29
2023-11-30,BUY,DOGE,DOGE,0.0948,211952.214209,20103.03,11.11
2023-11-30,BUY,ADA,ADA,0.4424,45442.28719,20103.03,11.11
2024-02-29,BUY,LTC,LTC,85.95,328.866481,28266.07,10.0
2024-06-30,SELL,XRP,XRP,0.4669,,24153.8,
2024-06-30,SELL,ADA,ADA,0.4066,,23974.61,
2024-06-30,SELL,LTC,LTC,72.08,,22956.27,
2024-07-31,BUY,XRP,XRP,0.6228,47643.65393,29672.94,12.5
2024-09-30,SELL,LINK,LINK,10.6601,,26605.58,
2024-10-31,SELL,ETH,ETH,2723.26,,35297.69,
2024-10-31,BUY,LTC,LTC,71.07,537.937698,38231.23,14.29
2024-11-30,BUY,ETH,ETH,3844.31,14.887091,57230.59,10.0
2024-11-30,BUY,ADA,ADA,1.1883,48163.196667,57230.59,10.0
